stem,common,scientific,family,ca_status,confidence,note
phainopepla-nitens,Phainopepla,Phainopepla nitens,silky-flycatchers (Ptilogonatidae),uncommon resident/summer breeder in desert and foothill scrub,high,"Verified: Phainopepla nitens, monotypic genus, family Ptilogonatidae. Correct as given."
phalacrocorax-auritus,Double-crested Cormorant,Nannopterum auritum,cormorants (Phalacrocoracidae),"common resident on lakes, rivers, and coast",high,"CORRECTED: The original note had the taxonomy backwards. eBird/Clements 2024 DOES use Nannopterum auritum (the genus move from Phalacrocorax was adopted, following the 2014 study; IOC adopted 2021, Clements/eBird reflects it in v2024), so scientific name changed from Phalacrocorax auritus to Nannopterum auritum. The stem 'phalacrocorax-auritus' uses the old genus and is kept unchanged as the filename key. Common name 'Double-crested Cormorant' is unchanged."
phalaenoptilus-nuttallii,Common Poorwill,Phalaenoptilus nuttallii,nightjars (Caprimulgidae),summer breeder/uncommon resident in arid scrub and foothills,high,"Verified: Phalaenoptilus nuttallii, monotypic genus, family Caprimulgidae. Correct as given."
phasianus-colchicus,Ring-necked Pheasant,Phasianus colchicus,pheasants and allies (Phasianidae),uncommon introduced resident in agricultural areas,high,Verified: introduced (non-native) species. Correct as given.
pheucticus-melanocephalus,Black-headed Grosbeak,Pheucticus melanocephalus,cardinals and allies (Cardinalidae),common summer breeder,high,"Verified: Pheucticus melanocephalus, family Cardinalidae. Correct as given."
pica-nuttalli,Yellow-billed Magpie,Pica nuttalli,crows and jays (Corvidae),common resident; California endemic (Central Valley and Coast Ranges),high,"Verified: Pica nuttalli (single 'l' in the species epithet, matching the stem), California endemic, family Corvidae. Correct as given."
picoides-arcticus,Black-backed Woodpecker,Picoides arcticus,woodpeckers (Picidae),rare/uncommon resident in high-elevation burned conifer forest; not a backyard bird,high,Verified against eBird/Clements 2024: Picoides arcticus is retained in genus Picoides (unlike many former Picoides species moved to Dryobates). Correct as given.
pinicola-enucleator,Pine Grosbeak,Pinicola enucleator,finches (Fringillidae),rare resident in high Sierra Nevada conifer forest; not expected in lowland backyards,high,"Verified: Pinicola enucleator, family Fringillidae (a true finch, not a cardinalid). Correct as given."
pipilo-chlorurus,Green-tailed Towhee,Pipilo chlorurus,New World sparrows (Passerellidae),summer breeder in montane shrub; uncommon migrant/winter visitor in lowlands,high,"Verified: Pipilo chlorurus, family Passerellidae. Correct as given."
pipilo-erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,New World sparrows (Passerellidae),rare/vagrant; the resident western counterpart is the Spotted Towhee,high,"Verified: Pipilo erythrophthalmus = Eastern Towhee in eBird/Clements 2024. Common name correctly derived from the binomial as given. The note's caveat (likely a Spotted Towhee, P. maculatus, if a CA backyard bird was intended) is reasonable but does not change the name derived from the binomial."
pipilo-maculatus,Spotted Towhee,Pipilo maculatus,New World sparrows (Passerellidae),common resident in brush and chaparral,high,"Verified: Pipilo maculatus = Spotted Towhee, family Passerellidae. Correct as given."
piranga-ludoviciana,Western Tanager,Piranga ludoviciana,cardinals and allies (Cardinalidae),common summer breeder and migrant,high,Verified: Piranga is placed in Cardinalidae (not Thraupidae) under current AOS/Clements taxonomy; family correct as given.
piranga-rubra,Summer Tanager,Piranga rubra,cardinals and allies (Cardinalidae),uncommon/local summer breeder along desert rivers; rare elsewhere,high,"Verified: Piranga rubra = Summer Tanager, family Cardinalidae (Piranga moved out of Thraupidae). Correct as given."
plegadis-chihi,White-faced Ibis,Plegadis chihi,ibises and spoonbills (Threskiornithidae),common resident/breeder in wetlands and flooded fields,high,"Verified: Plegadis chihi = White-faced Ibis, family Threskiornithidae. Correct as given."
podiceps-nigricollis,Eared Grebe,Podiceps nigricollis,grebes (Podicipedidae),common winter visitor and migrant; local breeder,high,Verified: eBird/Clements 2024 + AOS retain the North American English name 'Eared Grebe' for Podiceps nigricollis (the worldwide 'Black-necked Grebe' name is not used by AOS/Clements). Correct as given.
podilymbus-podiceps,Pied-billed Grebe,Podilymbus podiceps,grebes (Podicipedidae),common resident on ponds and lakes,high,"Verified: Podilymbus podiceps = Pied-billed Grebe, family Podicipedidae. Correct as given."
poecile-gambeli,Mountain Chickadee,Poecile gambeli,tits and chickadees (Paridae),common resident in mountains/conifer forest; occasional lowland winter visitor,high,Verified correct against eBird/Clements 2024.
poecile-rufescens,Chestnut-backed Chickadee,Poecile rufescens,tits and chickadees (Paridae),common resident in coastal/humid forest,high,Verified correct against eBird/Clements 2024.
polioptila-caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,gnatcatchers (Polioptilidae),"common summer breeder, partly resident in south",high,Verified correct against eBird/Clements 2024.
pooecetes-gramineus,Vesper Sparrow,Pooecetes gramineus,New World sparrows (Passerellidae),uncommon winter visitor and migrant; local summer breeder in NE,high,Verified correct against eBird/Clements 2024.
progne-subis,Purple Martin,Progne subis,swallows (Hirundinidae),uncommon/local summer breeder,high,Verified correct against eBird/Clements 2024.
psaltriparus-minimus,Bushtit,Psaltriparus minimus,bushtits (Aegithalidae),common resident,high,"eBird/Clements 2024 species-level English name remains 'Bushtit' (Psaltriparus minimus); no 2024 split. Some references (Wikipedia, BirdLife) use 'American Bushtit', but that is not the eBird/Clements name. Kept as given."
quiscalus-mexicanus,Great-tailed Grackle,Quiscalus mexicanus,New World blackbirds (Icteridae),"common resident, expanding",high,Correct. eBird/Clements labels family 'Troupials and Allies (Icteridae)'; 'New World blackbirds' is an acceptable descriptor.
recurvirostra-americana,American Avocet,Recurvirostra americana,stilts and avocets (Recurvirostridae),common resident/migrant at wetlands and shorelines,high,Verified correct against eBird/Clements 2024.
regulus-calendula,Ruby-crowned Kinglet,Corthylio calendula,kinglets (Regulidae),common winter visitor,high,"CORRECTED scientific name: eBird/Clements 2024 and AOS place this species in Corthylio (Corthylio calendula), not Regulus (moved 2021). Common name 'Ruby-crowned Kinglet' and family Regulidae are unchanged. Stem 'regulus-calendula' reflects the older genus and is kept as the filename key."
regulus-satrapa,Golden-crowned Kinglet,Regulus satrapa,kinglets (Regulidae),common winter visitor; resident in mountain conifers,high,Verified correct against eBird/Clements 2024. Golden-crowned Kinglet remains in genus Regulus (unlike Ruby-crowned).
riparia-riparia,Bank Swallow,Riparia riparia,swallows (Hirundinidae),uncommon/local summer breeder and migrant; CA state-threatened,high,Correct for AOS/eBird (North American) usage; 'Sand Martin' is the British (IOC) name for the same species. CA state-threatened status accurate.
rynchops-niger,Black Skimmer,Rynchops niger,"gulls, terns, and skimmers (Laridae)",uncommon/local resident and post-breeding visitor on south coast,high,Verified correct against eBird/Clements 2024. Genus spelling 'Rynchops' (not 'Rhynchops') is the valid form.
salpinctes-obsoletus,Rock Wren,Salpinctes obsoletus,wrens (Troglodytidae),fairly common resident in rocky habitat,high,Verified correct against eBird/Clements 2024.
sayornis-nigricans,Black Phoebe,Sayornis nigricans,tyrant flycatchers (Tyrannidae),common resident,high,Verified correct against eBird/Clements 2024.
sayornis-saya,Say's Phoebe,Sayornis saya,tyrant flycatchers (Tyrannidae),common resident/winter visitor; local summer breeder,high,Verified correct against eBird/Clements 2024.
selasphorus-platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,hummingbirds (Trochilidae),uncommon/local summer breeder in eastern mountains; scarce migrant elsewhere,high,Verified correct against eBird/Clements 2024; species remains in genus Selasphorus.
selasphorus-rufus,Rufous Hummingbird,Selasphorus rufus,hummingbirds (Trochilidae),common migrant (spring/fall),high,Verified correct.
selasphorus-sasin,Allen's Hummingbird,Selasphorus sasin,hummingbirds (Trochilidae),common breeder along the coast,high,Verified correct.
setophaga-coronata,Yellow-rumped Warbler,Setophaga coronata,New World warblers (Parulidae),common winter visitor,high,Formerly Dendroica coronata; includes Audubon's and Myrtle forms. Verified correct.
setophaga-magnolia,Magnolia Warbler,Setophaga magnolia,New World warblers (Parulidae),rare/vagrant,high,Formerly Dendroica magnolia. Verified correct.
setophaga-nigrescens,Black-throated Gray Warbler,Setophaga nigrescens,New World warblers (Parulidae),summer breeder / migrant,high,Formerly Dendroica nigrescens. AOS/eBird spelling is 'Gray' (not 'Grey'). Verified correct.
setophaga-occidentalis,Hermit Warbler,Setophaga occidentalis,New World warblers (Parulidae),summer breeder (montane) / migrant,high,Formerly Dendroica occidentalis. Verified correct.
setophaga-palmarum,Palm Warbler,Setophaga palmarum,New World warblers (Parulidae),uncommon fall migrant / rare winter visitor,high,Formerly Dendroica palmarum. Verified correct.
setophaga-petechia,Yellow Warbler,Setophaga petechia,New World warblers (Parulidae),common summer breeder / migrant,high,Formerly Dendroica petechia. Verified correct.
setophaga-ruticilla,American Redstart,Setophaga ruticilla,New World warblers (Parulidae),uncommon migrant / rare breeder,high,Verified correct.
setophaga-townsendi,Townsend's Warbler,Setophaga townsendi,New World warblers (Parulidae),common winter visitor / migrant,high,Formerly Dendroica townsendi. Verified correct.
sialia-currucoides,Mountain Bluebird,Sialia currucoides,thrushes (Turdidae),winter visitor / montane breeder,high,Verified correct.
sialia-mexicana,Western Bluebird,Sialia mexicana,thrushes (Turdidae),common resident,high,Verified correct.
sitta-canadensis,Red-breasted Nuthatch,Sitta canadensis,nuthatches (Sittidae),resident / irruptive winter visitor,high,Verified correct.
sitta-carolinensis,White-breasted Nuthatch,Sitta carolinensis,nuthatches (Sittidae),common resident,high,Verified correct.
sitta-pygmaea,Pygmy Nuthatch,Sitta pygmaea,nuthatches (Sittidae),common resident (pine forests),high,Verified correct.
spatula-clypeata,Northern Shoveler,Spatula clypeata,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Formerly Anas clypeata; moved to Spatula. Verified correct.
spatula-discors,Blue-winged Teal,Spatula discors,"ducks, geese, and waterfowl (Anatidae)",uncommon migrant and winter visitor,high,"Correct. Spatula discors, formerly Anas discors. Common name and genus current per Clements 2024."
sphyrapicus-ruber,Red-breasted Sapsucker,Sphyrapicus ruber,woodpeckers (Picidae),resident/winter visitor,high,Correct.
sphyrapicus-thyroideus,Williamson's Sapsucker,Sphyrapicus thyroideus,woodpeckers (Picidae),uncommon resident/migrant in montane areas,high,Correct.
spinus-lawrencei,Lawrence's Goldfinch,Spinus lawrencei,finches (Fringillidae),uncommon resident/breeder,high,Correct. Sometimes placed in Carduelis; Spinus is current.
spinus-pinus,Pine Siskin,Spinus pinus,finches (Fringillidae),irruptive winter visitor; some resident,high,Correct.
spinus-psaltria,Lesser Goldfinch,Spinus psaltria,finches (Fringillidae),common resident,high,Correct.
spinus-tristis,American Goldfinch,Spinus tristis,finches (Fringillidae),common resident,high,Correct.
spizella-atrogularis,Black-chinned Sparrow,Spizella atrogularis,New World sparrows (Passerellidae),uncommon summer breeder in chaparral,high,Correct.
spizella-breweri,Brewer's Sparrow,Spizella breweri,New World sparrows (Passerellidae),migrant and local breeder; winter visitor in deserts,high,Correct.
spizella-passerina,Chipping Sparrow,Spizella passerina,New World sparrows (Passerellidae),common breeder and migrant; winter visitor,high,Correct.
spizelloides-arborea,American Tree Sparrow,Spizelloides arborea,New World sparrows (Passerellidae),rare/vagrant in winter,high,Correct. Formerly Spizella arborea; now monotypic Spizelloides arborea.
stelgidopteryx-serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,swallows (Hirundinidae),common summer breeder and migrant,high,Correct.
sterna-forsteri,Forster's Tern,Sterna forsteri,"gulls, terns, and skimmers (Laridae)",common resident/breeder along coast and wetlands,high,"Correct. Some authorities use Sternula/Thalasseus for other terns, but Sterna forsteri is current for Forster's Tern."
sterna-hirundo,Common Tern,Sterna hirundo,"gulls, terns, and skimmers (Laridae)",uncommon migrant (mainly fall),high,Correct.
streptopelia-decaocto,Eurasian Collared-Dove,Streptopelia decaocto,pigeons and doves (Columbidae),common introduced resident,high,Correct.
strix-occidentalis,Spotted Owl,Strix occidentalis,owls (Strigidae),uncommon resident in mature forests,high,"Correct. California Spotted Owl is the relevant subspecies (S. o. occidentalis), but the species-level common name is Spotted Owl."
sturnella-neglecta,Western Meadowlark,Sturnella neglecta,New World blackbirds (Icteridae),common resident,high,Verified. Binomial and common name match eBird/Clements 2024.
sturnus-vulgaris,European Starling,Sturnus vulgaris,starlings (Sturnidae),common resident (introduced),high,Verified. Correct as given.
tachycineta-bicolor,Tree Swallow,Tachycineta bicolor,swallows (Hirundinidae),common breeder and migrant,high,Verified. Correct as given.
tachycineta-thalassina,Violet-green Swallow,Tachycineta thalassina,swallows (Hirundinidae),common summer breeder,high,Verified. Correct as given.
thalasseus-elegans,Elegant Tern,Thalasseus elegans,"gulls, terns, and skimmers (Laridae)",common summer/post-breeding coastal visitor,high,Verified. Genus Thalasseus (formerly Sterna) is current. Coastal species; unlikely in a backyard unless near the coast.
thryomanes-bewickii,Bewick's Wren,Thryomanes bewickii,wrens (Troglodytidae),common resident,high,Verified. Correct as given.
toxostoma-redivivum,California Thrasher,Toxostoma redivivum,mockingbirds and thrashers (Mimidae),common resident (California near-endemic),high,Verified. Correct as given.
tringa-semipalmata,Willet,Tringa semipalmata,sandpipers (Scolopacidae),common coastal/wetland migrant and winter visitor,high,"Verified. Formerly Catoptrophorus semipalmatus; now placed in Tringa, consistent with current taxonomy."
troglodytes-aedon,House Wren,Troglodytes aedon,wrens (Troglodytidae),common summer breeder,high,"Verified. Note: in 2024 AOS/Clements split the House Wren complex; North American populations retain the name House Wren under Troglodytes aedon, so the entry is correct."
troglodytes-pacificus,Pacific Wren,Troglodytes pacificus,wrens (Troglodytidae),uncommon resident/winter visitor,high,Verified. Split from Winter Wren (T. troglodytes/T. hiemalis) complex; binomial and name are current.
turdus-migratorius,American Robin,Turdus migratorius,thrushes (Turdidae),common resident and winter visitor,high,Verified. Correct as given.
tyrannus-verticalis,Western Kingbird,Tyrannus verticalis,tyrant flycatchers (Tyrannidae),common summer breeder,high,Verified. Correct as given.
tyrannus-vociferans,Cassin's Kingbird,Tyrannus vociferans,tyrant flycatchers (Tyrannidae),locally common resident/summer breeder (mainly Southern California),high,Verified. Correct as given.
tyto-alba,Barn Owl,Tyto alba,barn-owls (Tytonidae),common resident,high,"Verified. eBird/Clements uses the English name 'Barn Owl' for the New World species under Tyto alba (sometimes written 'American Barn Owl' after the 2023+ Old/New World split discussion, but Tyto alba in North America remains 'Barn Owl'). Entry is correct."
urile-penicillatus,Brandt's Cormorant,Urile penicillatus,cormorants (Phalacrocoracidae),common coastal resident,high,"Verified. Formerly Phalacrocorax penicillatus; moved to genus Urile (AOS 2021), adopted by eBird/Clements. Coastal species, not a backyard bird."
vireo-bellii,Bell's Vireo,Vireo bellii,vireos (Vireonidae),rare/local summer breeder (Least Bell's Vireo subspecies endangered),high,Verified. Correct as given; Least Bell's Vireo (V. b. pusillus) is the federally endangered subspecies.
vireo-cassinii,Cassin's Vireo,Vireo cassinii,vireos (Vireonidae),common migrant and summer breeder; some winter on coast,high,Verified correct.
vireo-gilvus,Warbling Vireo,Vireo gilvus,vireos (Vireonidae),common summer breeder and migrant,high,Verified correct.
vireo-huttoni,Hutton's Vireo,Vireo huttoni,vireos (Vireonidae),common resident,high,Verified correct.
xanthocephalus-xanthocephalus,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,New World blackbirds (Icteridae),local breeder and migrant; uncommon in winter,high,Verified correct.
zenaida-asiatica,White-winged Dove,Zenaida asiatica,pigeons and doves (Columbidae),"uncommon resident/breeder in southeast deserts; spreading, rare elsewhere",high,Verified correct.
zenaida-macroura,Mourning Dove,Zenaida macroura,pigeons and doves (Columbidae),common resident,high,Verified correct.
zonotrichia-atricapilla,Golden-crowned Sparrow,Zonotrichia atricapilla,New World sparrows (Passerellidae),common winter visitor,high,Verified correct. Genus Zonotrichia placed in Passerellidae per AOS/Clements.
zonotrichia-leucophrys,White-crowned Sparrow,Zonotrichia leucophrys,New World sparrows (Passerellidae),common winter visitor; breeds in mountains and along north coast,high,Verified correct.
zonotrichia-querula,Harris's Sparrow,Zonotrichia querula,New World sparrows (Passerellidae),rare/vagrant winter visitor,high,Verified correct.
